date,cases,recovered,died,new_cases,new_recovered,new_died
2020-02-25,1,0,0,1,0,0
2020-02-26,3,0,0,2,0,0
2020-02-28,5,0,0,2,0,0
2020-02-29,6,0,0,1,0,0
2020-03-01,7,0,0,1,0,0
2020-03-02,8,0,0,1,0,0
2020-03-03,9,0,0,1,0,0
2020-03-04,10,0,0,1,0,0
2020-03-06,11,0,0,1,0,0
2020-03-07,12,0,0,1,0,0
2020-03-09,13,0,0,1,0,0
2020-03-10,15,0,0,2,0,0
2020-03-11,19,0,0,4,0,0
2020-03-12,27,1,0,8,1,0
2020-03-13,32,1,0,5,0,0
2020-03-14,39,2,0,7,1,0
2020-03-15,49,3,0,10,1,0
2020-03-16,56,4,0,7,1,0
2020-03-17,69,5,0,13,1,0
2020-03-18,87,5,0,18,0,0
2020-03-19,110,5,1,23,0,1
2020-03-20,128,5,1,18,0,0
2020-03-21,206,5,1,78,0,0
2020-03-22,254,5,1,48,0,0
2020-03-23,315,5,1,61,0,0
2020-03-24,382,16,1,67,11,0
2020-03-25,442,22,1,60,6,0
2020-03-26,495,22,2,53,0,1
2020-03-27,586,37,3,91,15,1
2020-03-28,657,49,5,71,12,2
2020-03-29,713,52,6,56,3,1
2020-03-30,790,64,6,77,12,0
2020-03-31,867,67,6,77,3,0
2020-04-01,963,73,6,96,6,0
2020-04-02,1011,88,7,48,15,1
2020-04-03,1079,92,8,68,4,1
2020-04-04,1126,119,12,47,27,4
2020-04-05,1182,125,15,56,6,3
2020-04-06,1222,130,16,40,5,1
2020-04-07,1282,167,18,60,37,2
2020-04-08,1343,179,19,61,12,1
2020-04-09,1408,219,20,65,40,1
2020-04-10,1495,231,21,87,12,1
2020-04-11,1534,323,21,39,92,0
2020-04-12,1600,373,23,66,50,2
2020-04-13,1650,400,25,50,27,2
2020-04-14,1704,415,31,54,15,6
2020-04-15,1741,473,33,37,58,2
2020-04-16,1791,529,35,50,56,2
2020-04-17,1814,600,36,23,71,1
2020-04-18,1832,615,39,18,15,3
2020-04-19,1871,709,47,39,94,8
2020-04-20,1881,771,47,10,62,0
2020-04-21,1908,801,48,27,30,1
2020-04-22,1950,869,48,42,68,0
2020-04-23,1981,883,50,31,14,2
2020-04-24,2009,982,51,28,99,1
2020-04-25,2016,1034,54,7,52,3
2020-04-26,2030,1103,55,14,69,1
2020-04-27,2039,1166,59,9,63,4
2020-04-28,2047,1232,63,8,66,4
2020-04-29,2062,1288,67,15,56,4
2020-04-30,2076,1348,69,14,60,2
2020-05-01,2085,1421,75,9,73,6
2020-05-02,2088,1463,77,3,42,2
2020-05-03,2096,1489,79,8,26,2
2020-05-04,2101,1522,80,5,33,1
2020-05-05,2112,1560,83,11,38,3
2020-05-06,2119,1601,85,7,41,2
2020-05-07,2125,1641,86,6,40,1
2020-05-08,2161,1689,86,36,48,0
2020-05-09,2176,1726,87,15,37,1
2020-05-10,2187,1764,90,11,38,3
2020-05-11,2196,1784,91,9,20,1
2020-05-12,2207,1808,91,11,24,0
2020-05-13,2213,1834,94,6,26,3
2020-05-14,2221,1850,94,8,16,0
2020-05-15,2222,1869,95,1,19,1
2020-05-16,2224,1913,95,2,44,0
2020-05-17,2226,1936,95,2,23,0
2020-05-18,2228,1946,95,2,10,0
2020-05-19,2232,1967,96,4,21,1
2020-05-20,2234,1978,96,2,11,0
2020-05-21,2237,1978,97,3,0,1
2020-05-22,2243,2011,99,6,33,2
2020-05-23,2243,2023,99,0,12,0
2020-05-24,2244,2027,99,1,4,0
2020-05-25,2244,2035,100,0,8,1
2020-05-26,2244,2046,101,0,11,1
2020-05-27,2244,2047,101,0,1,0
2020-05-28,2245,2051,102,1,4,1
